Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.386014,50.1578947368421,-0.26459092,0.15789473684210525,0.15789473684210525,1.0
2000,1.3587546,35.857142857142854,-1.0665584,-1.0,-1.0,1.0
3000,1.379373,28.34375,-1.9755682,-0.3333333333333333,-0.3333333333333333,1.0
4000,1.3706592,47.81818181818182,-2.5846984,-0.47619047619047616,-0.47619047619047616,1.0
5000,1.370405,39.65217391304348,-4.0899487,-1.0,-1.0,1.0
6000,1.3551929,28.675675675675677,-5.1918783,-0.6944444444444444,-0.6944444444444444,1.0
7000,1.347323,19.244444444444444,-4.476614,-0.2826086956521739,-0.2826086956521739,1.0
8000,1.3246192,17.50980392156863,-5.6627154,0.0784313725490196,0.0784313725490196,1.0
9000,1.3062327,25.38095238095238,-5.060173,-0.4634146341463415,-0.4634146341463415,1.0
10000,1.2829938,19.3265306122449,-6.0399084,-0.5510204081632653,-0.5510204081632653,1.0
11000,1.2374696,15.129032258064516,-5.8210406,-0.6451612903225806,-0.6451612903225806,1.0
12000,1.2614079,15.238095238095237,-5.7139797,-0.6507936507936508,-0.6507936507936508,1.0
13000,1.2466005,9.630434782608695,-4.4778185,-0.6413043478260869,-0.6413043478260869,1.0
14000,1.239112,14.106060606060606,-4.6959743,0.16666666666666666,0.16666666666666666,1.0
15000,1.2366588,13.01388888888889,-4.2004185,-0.5416666666666666,-0.5416666666666666,1.0
16000,1.2576826,12.35135135135135,-3.375591,-0.25675675675675674,-0.25675675675675674,1.0
17000,1.2550008,10.627906976744185,-2.9255972,0.023255813953488372,0.023255813953488372,1.0
18000,1.2412505,11.0,-2.3942218,-0.8674698795180723,-0.8674698795180723,1.0
19000,1.2523215,12.904109589041095,-2.076524,-0.3888888888888889,-0.3888888888888889,1.0
20000,1.245724,12.18421052631579,-2.5536568,-0.13157894736842105,-0.13157894736842105,1.0
21000,1.1937388,10.363636363636363,-2.1828048,-0.375,-0.375,1.0
22000,1.2246134,12.794520547945206,-2.0693903,-0.547945205479452,-0.547945205479452,1.0
23000,1.2678459,13.835820895522389,-1.6728345,-0.014925373134328358,-0.014925373134328358,1.0
24000,1.2723482,13.720588235294118,-1.5866073,-0.5147058823529411,-0.5147058823529411,1.0
25000,1.2462775,14.409090909090908,-1.6615654,-0.8333333333333334,-0.8333333333333334,1.0
26000,1.2823666,14.873015873015873,-1.6000997,0.5714285714285714,0.5714285714285714,1.0
27000,1.2881917,16.836363636363636,-1.4878244,-0.6,-0.6,1.0
28000,1.2526003,14.430769230769231,-1.4864193,-0.15384615384615385,-0.15384615384615385,1.0
29000,1.2787782,13.371428571428572,-1.4911264,-0.5285714285714286,-0.5285714285714286,1.0
30000,1.282869,17.12727272727273,-1.4704045,0.0,0.0,1.0
31000,1.2830229,17.40740740740741,-1.3910342,-0.4,-0.4,1.0
32000,1.2681249,18.153846153846153,-1.493653,-0.15384615384615385,-0.15384615384615385,1.0
33000,1.2855502,11.506172839506172,-1.5224085,0.2222222222222222,0.2222222222222222,1.0
34000,1.30936,19.693877551020407,-1.272412,-0.5510204081632653,-0.5510204081632653,1.0
35000,1.3051492,13.470588235294118,-1.1611133,-0.35294117647058826,-0.35294117647058826,1.0
36000,1.3110306,17.35185185185185,-1.3803757,-0.5925925925925926,-0.5925925925925926,1.0
37000,1.3063838,14.353846153846154,-1.0419694,0.015384615384615385,0.015384615384615385,1.0
38000,1.3308104,23.72093023255814,-1.1153452,-0.15384615384615385,-0.15384615384615385,1.0
39000,1.3369067,21.804878048780488,-0.8997088,-0.7555555555555555,-0.7555555555555555,1.0
40000,1.3330476,18.22641509433962,-0.7624812,-0.16981132075471697,-0.16981132075471697,1.0
41000,1.3388059,20.680851063829788,-0.65837145,0.25,0.25,1.0
42000,1.3238617,20.339622641509433,-1.006463,-0.15384615384615385,-0.15384615384615385,1.0
43000,1.339038,24.31578947368421,-1.3555365,-0.6857142857142857,-0.6857142857142857,1.0
44000,1.3430339,17.86842105263158,-0.7745672,-0.16981132075471697,-0.16981132075471697,1.0
45000,1.3352051,22.666666666666668,-0.60315967,-0.043478260869565216,-0.043478260869565216,1.0
46000,1.3131884,17.862745098039216,-0.70393205,-0.32653061224489793,-0.32653061224489793,1.0
47000,1.3124983,31.594594594594593,-1.2247578,0.17857142857142858,0.17857142857142858,1.0
48000,1.3078648,18.568181818181817,-0.6931894,-0.56,-0.56,1.0
49000,1.2692161,19.29090909090909,-1.066948,0.54,0.54,1.0
50000,1.2361438,16.948275862068964,-1.1524218,-0.03508771929824561,-0.03508771929824561,1.0
51000,1.2706171,18.644444444444446,-0.9903086,-0.2826086956521739,-0.2826086956521739,1.0
